t=2026-06-04T10:21:02-0600 lvl=info msg="no configuration paths supplied"
t=2026-06-04T10:21:02-0600 lvl=info msg="using configuration at default config path" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-06-04T10:21:02-0600 lvl=info msg="open config file" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-06-04T10:21:02-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-04T10:21:02-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-04T10:21:02-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T10:21:02-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T10:21:03-0600 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://phrasing-roman-umpire.ngrok-free.dev
t=2026-06-04T10:21:27-0600 lvl=info msg=start pg=/api/tunnels id=40fd38c985ebf0af
t=2026-06-04T10:21:27-0600 lvl=info msg=end pg=/api/tunnels id=40fd38c985ebf0af status=200 dur=9.0378ms
t=2026-06-04T10:22:14-0600 lvl=info msg="join connections" obj=join id=9b181a016757 l=[::1]:3000 r=[2a03:2880:22ff:71::]:52074
t=2026-06-04T10:22:17-0600 lvl=info msg="join connections" obj=join id=b1990b2b6840 l=[::1]:3000 r=[2a03:2880:10ff:45::]:36374
t=2026-06-04T10:22:17-0600 lvl=info msg="join connections" obj=join id=42150115ace4 l=[::1]:3000 r=[2a03:2880:10ff:5d::]:60494
t=2026-06-04T10:22:18-0600 lvl=info msg="join connections" obj=join id=990d91c486ba l=[::1]:3000 r=[2a03:2880:10ff:54::]:62638
t=2026-06-04T10:22:23-0600 lvl=info msg="join connections" obj=join id=19cb46025655 l=[::1]:3000 r=[2a03:2880:22ff:44::]:61486
t=2026-06-04T10:22:25-0600 lvl=info msg="join connections" obj=join id=c2072db724d0 l=[::1]:3000 r=[2a03:2880:22ff:49::]:48316
t=2026-06-04T10:22:26-0600 lvl=info msg="join connections" obj=join id=e1448b8840f1 l=[::1]:3000 r=[2a03:2880:21ff::]:55936
t=2026-06-04T10:22:26-0600 lvl=info msg="join connections" obj=join id=1ba5a6eb8a7d l=[::1]:3000 r=[2a03:2880:22ff:44::]:44390
t=2026-06-04T10:22:26-0600 lvl=info msg="join connections" obj=join id=1e431cc42041 l=[::1]:3000 r=[2a03:2880:10ff:6::]:60614
